t_rel_s,displacement_um,force_N,stage_mm
14.789986,-4956.8342,0.21647012,79.999979
14.799986,-4957.9248,0.21605692,79.999979
14.809986,-4960.0848,0.21594623,79.999979
14.819986,-4960.7706,0.21604113,79.999979
14.829986,-4957.6172,0.21536879,79.999979
14.839986,-4957.6079,0.21538468,79.999979
14.849986,-4958.4839,0.21572715,79.999979
14.859986,-4957.3292,0.21620951,79.999979
14.869986,-4959.4451,0.21547148,79.999979
14.879986,-4960.3196,0.21547148,79.999979
14.889986,-4960.2223,0.21595467,79.999979
14.899986,-4960.6027,0.21505695,79.999979
14.909986,-4960.4779,0.21423619,79.999979
14.919986,-4956.8559,0.21625509,79.999979
14.929986,-4958.3956,0.21564146,79.999979
