Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"15.5400","15.4898","474.5666"
"15.5600","15.5099","475.1701"
"15.5800","15.5300","475.5175"
"15.6000","15.5494","476.3827"
"15.6200","15.5689","477.0837"
"15.6400","15.5886","477.2364"
"15.6600","15.6082","478.5193"
"15.6800","15.6289","478.9442"
"15.7000","15.6491","479.6553"
"15.7200","15.6688","480.0559"
"15.7400","15.6887","480.4626"
"15.7600","15.7083","481.2562"
"15.7800","15.7286","481.8531"
"15.8000","15.7494","482.3442"
"15.8200","15.7695","483.1837"
"15.8400","15.7889","483.8965"
"15.8600","15.8078","484.5538"
"15.8800","15.8281","485.0888"
"15.9000","15.8493","485.1878"
"15.9200","15.8693","486.2050"
"15.9400","15.8887","486.9127"
"15.9600","15.9081","487.8602"
"15.9800","15.9280","488.2163"
"16.0000","15.9489","488.6125"
"16.0200","15.9692","489.2949"
"16.0400","15.9891","490.1453"
"16.0600","16.0088","490.7643"
"16.0800","16.0286","491.1697"
"16.1000","16.0493","491.5573"
"16.1200","16.0695","492.4650"
