=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

1050,1272,0.450636
1051,1274,0.259719
1052,1275,0.761457
1053,1276,1.265162
1054,1277,1.945457
1055,1279,2.136599
1056,1280,1.635199
1057,1281,1.131168
1058,1282,0.450864
1059,1283,0.224623
1060,1284,0.259430
1061,1285,0.761048
1062,1287,1.750820
1063,1288,2.171389
1064,1290,1.635897
1065,1291,1.131898
1066,1292,0.646106
1067,1293,0.225068
1068,1294,0.374455
1069,1296,1.264529
1070,1297,1.944797
1071,1299,2.136734
1072,1300,1.636149
1073,1301,1.132470
1074,1302,0.646410
1075,1303,0.224952
1076,1304,0.259073
1077,1305,0.759969
1078,1306,1.263651
1079,1308,2.171170
1080,1309,2.022517
1081,1310,1.636540
1082,1311,1.132920
1083,1312,0.452183
1084,1313,0.225588
1085,1314,0.259490
1086,1315,0.759786
1087,1317,1.749530
1088,1318,2.171213
1089,1319,2.137504
1090,1320,1.636988
1091,1321,1.133064
1092,1322,0.647089
1093,1323,0.225852
1094,1324,0.373890
1095,1326,1.262795
1096,1327,1.943817
1097,1329,2.137783
1098,1330,1.637732
1099,1331,1.133876
1100,1332,0.452574
1101,1334,0.258696
1102,1335,0.758888
1103,1337,1.748628
1104,1338,2.170785
1105,1340,1.638204
1106,1341,1.134494
1107,1343,0.225083
1108,1344,0.372753
1109,1346,1.261657
1110,1347,1.943257
1111,1348,2.170729
1112,1349,2.137642
1113,1350,1.638290
1114,1352,0.648503
1115,1353,0.225334
1116,1355,0.757724
1117,1356,1.261222
1118,1357,1.747794
1119,1358,2.170615
1120,1359,2.137965
1121,1360,1.853560
1122,1361,1.135211
1123,1362,0.453818
1124,1363,0.225675
1125,1364,0.372233
1126,1365,0.757304
1127,1366,1.260638
1128,1367,1.747406
1129,1368,2.170681
1130,1370,1.639321
1131,1371,1.135744
1132,1373,0.226098
1133,1374,0.372272
1134,1375,0.757216
1135,1376,1.260199
1136,1377,1.942055
1137,1378,2.170563
1138,1379,2.138342
1139,1380,1.639992
1140,1382,0.649471
